wl(um),k
0.2066,1.9859165645
0.2108950832,1.9753477923
0.2152794584,1.9659777786
0.2197549821,1.9585371853
0.224323549,1.9534747986
0.2289870936,1.9509205495
0.2337475903,1.9506797942
0.2386070547,1.9522622682
0.2435675442,1.9549427281
0.2486311593,1.9578442088
0.2538000437,1.9600311228
0.2590763859,1.9605992287
0.2644624199,1.9587524104
0.2699604262,1.9538608396
0.2755727325,1.9454998604
0.2813017151,1.9334727808
0.2871497997,1.9178232127
0.2931194622,1.8988434893
0.2992132302,1.8770847023
0.3054336838,1.8533704822
0.3117834567,1.8288102492
0.3182652374,1.8047984931
0.3248817702,1.7829765227
0.3316358565,1.7651262926
0.3385303559,1.7529693573
0.3455681877,1.7478663143
0.3527523315,1.7504582283
0.3600858291,1.7603512156
0.3675717855,1.7759826166
0.3752133702,1.7947745423
0.3830138186,1.8135693006
0.3909764334,1.8292161791
0.3991045859,1.8391292723
0.4074017175,1.8416845654
0.4158713413,1.8364165148
0.4245170432,1.824046326
0.4333424837,1.8064036105
0.4423513996,1.7863003221
0.4515476051,1.7673956537
0.4609349939,1.7540572953
0.4705175406,1.7511719833
0.4802993023,1.7637847158
0.4902844207,1.7963979969
0.5004771234,1.8518919228
0.5108817259,1.9304677151
0.5215026335,2.0294158426
0.5323443431,2.1440829091
0.5434114449,2.2693910627
0.5547086248,2.400972842
0.5662406659,2.5355999192
0.5780124508,2.6711277547
0.5900289637,2.8062568867
0.6022952923,2.9402833086
0.6148166301,3.0728980896
0.6275982785,3.204042941
0.6406456494,3.3338114301
0.6539642668,3.4623834285
0.6675597698,3.5899826181
0.6814379148,3.7168496361
0.6956045776,3.8432256893
0.7100657563,3.9693430957
0.7248275738,4.0954203379
0.7398962801,4.2216599933
0.7552782553,4.3482484372
0.770980012,4.4753565835
0.7870081983,4.6031411808
0.8033696005,4.7317463551
0.8200711458,4.8613052076
0.8371199057,4.9919413569
0.8545230985,5.1237703632
0.8722880927,5.2569010096
0.8904224098,5.3914364314
0.908933728,5.5274750988
0.9278298847,5.6651116655
0.9471188805,5.8044376944
0.9668088824,5.9455422781
0.9869082269,6.0885125664
1.0074254241,6.2334342138
1.0283691608,6.3803917599
1.0497483045,6.5294689524
1.0715719071,6.6807490205
1.0938492086,6.8343149079
1.116589641,6.9902494705
1.1398028327,7.1486356453
1.1634986119,7.3095565942
1.1876870114,7.4730958275
1.2123782724,7.63933731
1.237582849,7.8083655521
1.2633114129,7.9802656895
1.2895748573,8.1551235526
1.316384302,8.3330257273
1.3437510982,8.5140596094
1.3716868327,8.6983134531
1.4002033335,8.8858764151
1.4293126742,9.0768385951
1.4590271797,9.2712910733
1.489359431,9.4693259459
1.5203222706,9.6710363584
1.551928808,9.876516538
1.5841924253,10.085861825
1.6171267828,10.2991687034
1.6507458247,10.5165348313
1.6850637852,10.7380590705
1.7200951944,10.9638415166
1.7558548844,11.1939835286
1.7923579957,11.4285877588
1.8296199836,11.6677581822
1.8676566246,11.9116001269
1.9064840233,12.1602203034
1.9461186191,12.4137268346
1.9865771929,12.6722292853
2.027876875,12.9358386922
2.0700351512,13.2046675927
2.1130698714,13.4788300544
2.1569992561,13.7584417033
2.2018419049,14.0436197522
2.247616804,14.3344830281
2.2943433343,14.6311519989
2.3420412795,14.9337487993
2.3907308348,15.242397256
2.4404326152,15.557222911
2.4911676641,15.8783530446
2.5429574625,16.205916696
2.595823938,16.5400446837
2.6497894741,16.8808696226
2.7048769196,17.2285259404
2.7611095981,17.5831498916
2.8185113185,17.9448795695
2.8771063842,18.3138549153
2.9369196043,18.6902177253
2.9979763033,19.0741116548
3.0603023325,19.4656822198
3.1239240803,19.8650767947
3.188868484,20.2724446074
3.2551630407,20.6879367303
3.3228358193,21.1117060677
3.3919154721,21.5439073394
3.4624312472,21.9846970594
3.5344130005,22.4342335112
3.607891209,22.8926767167
3.6828969828,23.3601884018
3.7594620793,23.8369319549
3.8376189156,24.3230723814
3.917400583,24.818776251
3.9988408608,25.3242116392
4.0819742304,25.8395480625
4.1668358901,26.3649564062
4.25346177,26.9006088451
4.3418885471,27.4466787567
4.4321536609,28.0033406265
4.5242953292,28.5707699445
4.6183525645,29.1491430937
4.7143651902,29.738637229
4.8123738576,30.3394301469
4.9124200631,30.9517001453
5.0145461659,31.5756258729
5.1187954057,32.2113861689
5.2252119211,32.8591598904
5.3338407686,33.5191257296
5.444727941,34.191462019
5.5579203875,34.8763465244
5.6734660334,35.5739562259
5.7914138,36.2844670861
5.911813626,37.0080538055
6.0347164882,37.7448895647
6.1601744231,38.4951457535
6.288240549,39.2589916857
6.4189690885,40.0365943015
6.5524153917,40.8281178548
6.6886359589,41.633723588
6.8276884656,42.4535693921
6.9696317858,43.2878094535
7.1145260177,44.1365938879
7.262432509,45.0000683603
7.4134138826,45.8783736927
7.5675340634,46.7716454592
7.7248583051,47.6800135698
7.8854532182,48.6036018426
8.0493867979,49.5425275664
8.2167284529,50.4969010538
8.387549035,51.4668251858
8.5619208687,52.4523949503
8.7399177826,53.4536969744
8.9216151395,54.4708090531
9.1070898695,55.5037996756
9.2964205017,56.5527275519
9.4896871978,57.6176411403
9.6869717862,58.6985781795
9.8883577962,59.7955652274
10.0939304939,60.9086172084
10.3037769178,62.0377369732
10.517985916,63.1829148725
10.7366481837,64.3441283502
10.9598563014,65.5213415561
11.1877047746,66.7145049842
11.4202900733,67.923555139
11.6577106731,69.1484142333
11.9000670968,70.388989921
12.1474619572,71.6451750702
12.4,72.9168475779
